City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,lihue,21.9789,-159.3672,298.96,77,75,6.17,US,1701721972
83,bay harbor,30.1471,-85.6146,294.23,60,75,6.17,US,1701721973
84,cuito,-12.3833,16.9333,288.54,94,100,1.3,AO,1701721973
85,katsuura,35.1333,140.3,286.27,60,100,2.3,JP,1701721974
86,port lincoln,-34.7333,135.8667,291.5,77,100,2.43,AU,1701721975
87,mitu,1.1983,-70.1733,302.65,66,86,1.4,CO,1701721976
88,chegdomyn,51.1167,133.0167,255.35,99,98,0.86,RU,1701721977
89,arraial do cabo,-22.9661,-42.0278,302.07,70,20,4.12,BR,1701721979
90,sambava,-14.2667,50.1667,297.43,83,4,5.29,MG,1701721980
91,douentza,14.9951,-2.9517,298.23,15,6,2.67,ML,1701721980
92,mareeba,-17.0,145.4333,295.62,90,41,1.22,AU,1701721981
93,cumbum,9.7333,77.3,295.36,95,100,2.63,IN,1701721982
94,margaret river,-33.95,115.0667,287.02,78,100,2.65,AU,1701721983
95,kapit,2.0167,112.9333,296.04,100,100,0.66,MY,1701721984
96,kingston,17.997,-76.7936,304.68,67,20,5.66,JM,1701721854
97,yuzhno-kurilsk,44.0306,145.8556,277.25,68,8,5.48,RU,1701721987
98,klyuchi,52.2667,79.1667,265.57,75,100,5.09,RU,1701721988
99,sisimiut,66.9395,-53.6735,267.1,81,100,2.6,GL,1701721989
100,georgetown,5.4112,100.3354,300.9,89,20,3.09,MY,1701721939
101,fort mcmurray,56.7268,-111.381,269.92,80,0,1.54,CA,1701721837
102,margate,51.3813,1.3862,281.98,95,100,1.34,GB,1701721992
103,queenstown,-31.8976,26.8753,287.17,85,100,2.78,ZA,1701721993
104,barra de santo antonio,-9.4047,-35.5072,301.75,82,96,5.59,BR,1701721994
105,tamandare,-8.7597,-35.1047,299.61,82,73,4.4,BR,1701721857
106,sitka,57.0531,-135.33,282.09,61,100,10.29,US,1701721996
107,afaahiti,-17.75,-149.2833,302.08,82,77,8.26,PF,1701721997
108,atbasar,51.8,68.3333,274.3,85,100,8.8,KZ,1701721998
109,hammerfest,70.6634,23.6821,267.4,86,0,0.51,NO,1701721999
110,sipalay,9.75,122.5,297.64,90,90,1.85,PH,1701722000
111,okoneshnikovo,54.8377,75.0834,260.94,95,100,5.45,RU,1701722001
112,bredasdorp,-34.5322,20.0403,290.62,67,84,0.24,ZA,1701721989
113,weno,7.4515,151.8468,301.12,83,75,2.57,FM,1701722003
114,yangambi,0.8102,24.4336,292.53,98,98,0.59,CD,1701722004
115,villamontes,-21.25,-63.5,296.84,73,75,2.57,BO,1701722005
116,ad-damazin,11.7891,34.3592,302.55,31,4,3.13,SD,1701722005
117,la sarre,48.8002,-79.1996,264.08,90,56,2.15,CA,1701722006
118,punta arenas,-53.15,-70.9167,288.21,58,0,14.92,CL,1701722007
119,kapa'a,22.0752,-159.319,299.37,82,75,6.17,US,1701722008
120,shetpe,44.1667,52.1167,282.32,86,73,2.13,KZ,1701722009
121,labuan,5.2767,115.2417,299.35,94,20,0.0,MY,1701722010
122,manokwari,-0.8667,134.0833,298.86,84,100,2.0,ID,1701722011
123,fale old settlement,-9.3852,-171.2468,302.28,75,59,6.21,TK,1701722012
124,richards bay,-28.783,32.0377,296.43,81,100,1.24,ZA,1701721773
125,qui nhon,13.7667,109.2333,296.49,92,45,3.18,VN,1701722014
126,tazovsky,67.4667,78.7,236.38,100,26,1.09,RU,1701722014
127,puerto baquerizo moreno,-0.9,-89.6,301.7,65,20,6.69,EC,1701722015
128,menongue,-14.6585,17.691,290.82,93,85,1.52,AO,1701722016
129,holualoa,19.6228,-155.9522,299.01,78,40,5.66,US,1701722017
130,kogalym,62.2654,74.4791,239.5,100,49,1.91,RU,1701722019
131,hastings,50.8552,0.5729,280.11,57,100,5.6,GB,1701722020
132,da nang,16.0678,108.2208,298.14,88,75,1.03,VN,1701721883
133,ad darbasiyah,37.0728,40.652,285.72,48,83,1.46,SY,1701722022
134,tshabong,-26.05,22.45,303.26,22,97,6.06,BW,1701722023
135,geraldton,-28.7667,114.6,293.38,77,100,6.17,AU,1701722025
136,nuku'alofa,-21.1333,-175.2,301.34,78,20,5.66,TO,1701722026
137,lebu,-37.6167,-73.65,287.66,74,0,7.76,CL,1701722027
138,brigantine,39.4101,-74.3646,284.26,65,0,4.12,US,1701722028
139,saint-philippe,-21.3585,55.7679,294.92,77,52,2.54,RE,1701722029
140,karlskrona,56.1616,15.5866,270.4,87,22,2.43,SE,1701722030
141,unterseen,46.6853,7.8472,275.35,93,100,3.12,CH,1701722031
142,ulladulla,-35.35,150.4667,293.68,67,69,2.33,AU,1701722032
143,palmer,42.1584,-72.3287,282.9,68,75,3.09,US,1701722033
144,shar'ya,58.3686,45.5144,262.66,91,100,2.89,RU,1701722034
145,shchuchinsk,52.9333,70.2,270.92,94,100,9.61,KZ,1701722035
146,sinabang,2.4803,96.3801,299.48,85,100,2.26,ID,1701722036
147,olonkinbyen,70.9221,-8.7187,271.47,75,100,4.15,SJ,1701722036
148,iskateley,67.6803,53.1512,247.05,93,21,4.02,RU,1701722037
149,urambo,-5.0667,32.05,291.71,97,99,1.62,TZ,1701722038
150,ust'-ilimsk,58.0006,102.6619,253.48,90,100,6.2,RU,1701722039
151,carutapera,-1.195,-46.02,300.43,79,71,3.94,BR,1701722040
152,qaqortoq,60.7167,-46.0333,267.74,69,100,4.9,GL,1701721756
153,tsiombe,-25.3,45.4833,295.33,77,0,7.05,MG,1701722042
154,tura,25.5198,90.2201,292.09,74,94,1.75,IN,1701722043
155,sandnessjoen,66.0217,12.6316,269.21,86,75,4.12,NO,1701722044
156,nanping,26.645,118.1736,285.92,97,100,0.98,CN,1701722045
157,nagqu,31.5,92.0,264.86,94,100,0.5,CN,1701722046
158,kokopo,-4.352,152.2633,298.69,86,100,1.03,PG,1701722047
159,avarua,-21.2078,-159.775,300.18,74,75,3.09,CK,1701722049
160,kirakira,-10.4544,161.9205,299.2,92,100,4.96,SB,1701722050
161,urengoy,65.9667,78.3667,232.56,100,45,1.13,RU,1701722051
162,ugoofaaru,5.6667,73.0,301.66,76,61,5.99,MV,1701722052
163,jacobina,-11.1806,-40.5183,299.76,54,59,1.44,BR,1701722053
164,badger,64.8,-147.5333,256.13,80,40,0.0,US,1701722054
165,bamboo flat,11.7,92.7167,299.2,94,100,1.03,IN,1701722055
166,kegeyli shahar,42.7767,59.6078,281.2,50,100,3.79,UZ,1701722056
167,kyzyl-suu,42.3414,78.0056,275.67,53,7,3.92,KG,1701722057
168,plastun,44.7561,136.2939,268.86,83,4,2.96,RU,1701722058
169,khuzdar,27.7384,66.6434,285.36,29,0,1.48,PK,1701722059
170,acarau,-2.8856,-40.12,300.49,79,81,7.34,BR,1701722061
171,manadhoo,5.7667,73.3833,301.64,76,72,5.71,MV,1701722062
172,as sulayyil,20.4607,45.5779,291.29,43,0,3.41,SA,1701722063
173,saint-benoit,-21.038,55.7194,295.21,72,57,4.97,RE,1701722064
174,okakarara,-20.5833,17.4333,297.24,49,100,5.0,NA,1701722065
175,ilulissat,69.2167,-51.1,264.16,73,40,0.0,GL,1701722066
176,merizo village,13.2658,144.6691,300.46,90,97,8.1,GU,1701722067
177,bonyhad,46.2992,18.5302,272.62,64,100,4.01,HU,1701722068
178,zhezqazghan,47.7833,67.7667,274.45,55,99,3.82,KZ,1701721892
179,codrington,-38.2667,141.9667,288.22,84,84,1.48,AU,1701722070
180,minas de marcona,-15.2119,-75.1103,291.77,64,100,6.58,PE,1701722071
181,tahe,52.3333,124.7333,261.29,90,100,1.61,CN,1701722072
182,olenino,56.2092,33.4889,260.02,98,97,0.91,RU,1701722073
183,daru,-9.0763,143.2092,300.45,78,68,4.93,PG,1701722074
184,kailua-kona,19.6406,-155.9956,301.08,78,40,5.66,US,1701722075
185,norilsk,69.3535,88.2027,243.38,84,97,0.55,RU,1701722076
186,lompoc,34.6391,-120.4579,297.6,55,0,2.06,US,1701722077
187,al hamul,31.3115,31.1477,290.83,86,100,1.19,EG,1701722078
188,saint-francois,46.4154,3.9054,282.84,73,75,4.12,FR,1701722079
189,namibe,-15.1961,12.1522,296.8,87,100,2.43,AO,1701722079
190,tromso,69.6496,18.957,270.16,86,20,1.54,NO,1701722080
191,ulaangom,49.9811,92.0667,258.38,68,4,2.74,MN,1701722081
192,luena,-11.7833,19.9167,289.75,91,100,1.05,AO,1701722082
193,rawson,-43.3002,-65.1023,292.39,35,40,7.31,AR,1701721854
194,ribeira grande,38.5167,-28.7,290.8,67,75,5.66,PT,1701722084
195,dudinka,69.4058,86.1778,247.97,96,98,1.34,RU,1701722085
196,tefe,-3.3542,-64.7114,304.21,66,40,3.09,BR,1701722085
197,tweed heads,-28.1817,153.547,297.04,92,75,2.06,AU,1701722086
198,sechura,-5.5569,-80.8222,300.06,58,80,6.87,PE,1701722088
199,nema,57.5067,50.5011,262.0,94,95,3.88,RU,1701722090
200,kristiansund,63.1115,7.732,270.51,80,75,2.06,NO,1701722091
201,nova sintra,14.8667,-24.7167,295.96,77,33,5.99,CV,1701722092
202,ewo,-0.8725,14.8206,295.85,93,100,1.43,CG,1701722092
203,mount darwin,-16.7725,31.5838,295.72,34,14,0.99,ZW,1701722093
204,pacific grove,36.6177,-121.9166,294.01,69,0,5.81,US,1701722094
205,gadzhiyevo,69.2551,33.3362,262.78,94,84,2.11,RU,1701722095
206,kikwit,-5.041,18.8162,294.12,98,98,0.92,CD,1701722096
207,fort st. john,56.2499,-120.8529,277.09,60,75,6.69,CA,1701722097
208,kone,-21.0595,164.8658,300.59,65,100,1.84,NC,1701722098
209,tucuma,-0.1833,-50.05,298.67,87,100,2.03,BR,1701721805
210,carnarvon,-24.8667,113.6333,296.92,72,20,8.3,AU,1701722099
211,shakawe,-18.3667,21.85,301.71,28,58,2.17,BW,1701722100
212,island harbour,50.724,-1.2758,280.92,94,100,4.02,GB,1701722101
213,machico,32.7,-16.7667,295.38,91,75,6.17,PT,1701722102
214,constantia,44.1833,28.65,272.53,59,7,1.06,RO,1701721908
215,teguise,29.0605,-13.564,290.27,72,20,2.57,ES,1701722104
216,pallasovka,50.05,46.8833,271.64,73,100,3.69,RU,1701722105
217,mirnyy,62.5353,113.9611,233.28,65,100,4.02,RU,1701722106
218,najran,17.4924,44.1277,287.51,50,10,1.38,SA,1701722107
219,roccella ionica,38.322,16.4009,285.56,70,44,2.6,IT,1701722108
220,zilair,52.2332,57.4392,272.28,92,100,6.43,RU,1701722109
221,pithoragarh,29.5833,80.2167,278.95,70,61,1.37,IN,1701722110
222,machali,-34.1833,-70.6667,300.75,26,0,4.63,CL,1701722111
223,happy valley-goose bay,53.3168,-60.3315,262.32,79,75,2.06,CA,1701721813
224,bandon,51.7469,-8.7425,276.92,86,4,3.86,IE,1701722113
225,touros,-5.1989,-35.4608,299.94,80,28,4.8,BR,1701721961
226,flying fish cove,-10.4217,105.6791,297.97,88,75,4.12,CX,1701721987
227,broken hill,-31.95,141.4333,301.58,22,0,6.83,AU,1701722115
228,vilyuchinsk,52.9306,158.4028,268.3,86,58,1.9,RU,1701722116
229,ust'-kulom,61.6864,53.6902,259.49,93,100,3.62,RU,1701722117
230,port mathurin,-19.6833,63.4167,298.94,82,4,5.17,MU,1701722118
231,la foa,-21.7108,165.8276,299.67,67,100,1.9,NC,1701722119
232,tomatlan,19.9333,-105.25,298.43,70,100,1.44,MX,1701722120
233,manado,1.487,124.8455,298.35,88,54,1.11,ID,1701722121
234,tukrah,32.5341,20.5791,291.11,70,56,4.08,LY,1701722122
235,mar del plata,-38.0023,-57.5575,289.79,60,0,6.71,AR,1701722102
236,berezovyy,51.6667,135.7,258.44,92,27,1.62,RU,1701722124
237,ust-nera,64.5667,143.2,226.86,99,79,1.99,RU,1701722125
238,sao jose dos pinhais,-25.5347,-49.2064,298.34,56,75,6.69,BR,1701722126
239,henderson,36.0397,-114.9819,293.24,30,0,3.09,US,1701721967
240,karratha,-20.7377,116.8463,297.92,82,3,3.72,AU,1701722128
241,ivins,37.1686,-113.6794,289.29,36,5,0.45,US,1701722129
